uc001aaa.3	chr1	+	11873	14409	11873	11873	3	11873,12612,13220,	12227,12721,14409,		uc001aaa.3
uc010nxr.1	chr1	+	11873	14409	11873	11873	3	11873,12645,13220,	12227,12697,14409,		uc010nxr.1
uc010nxq.1	chr1	+	11873	14409	12189	13639	3	11873,12594,13402,	12227,12721,14409,	B7ZGX9	uc010nxq.1
uc009vis.3	chr1	-	14361	16765	14361	14361	4	14361,14969,15795,16606,	14829,15038,15942,16765,		uc009vis.3
uc009vit.3	chr1	-	14361	19759	14361	14361	9	14361,14969,15795,16606,16857,17232,17914,18267,18912,	14829,15038,15947,16765,17055,17742,18061,18366,19759,		uc009vit.3
uc009viu.3	chr1	-	14361	19759	14361	14361	10	14361,14969,15795,16606,16857,17232,17914,18267,18500,18912,	14829,15038,15947,16765,17055,17742,18061,18369,18554,19759,		uc009viu.3
uc001aae.4	chr1	-	14361	19759	14361	14361	10	14361,14969,15795,16606,16857,17232,17605,17914,18267,18912,	14829,15038,15947,16765,17055,17368,17742,18061,18366,19759,		uc001aae.4
uc001aah.4	chr1	-	14361	29370	14361	14361	11	14361,14969,15795,16606,16857,17232,17605,17914,18267,24737,29320,	14829,15038,15947,16765,17055,17368,17742,18061,18366,24891,29370,		uc001aah.4
uc009vir.3	chr1	-	14361	29370	14361	14361	10	14361,14969,15795,16606,16857,17232,17914,18267,24737,29320,	14829,15038,15947,16765,17055,17742,18061,18366,24891,29370,		uc009vir.3
uc009viq.3	chr1	-	14361	29370	14361	14361	7	14361,15795,16606,16857,17605,24737,29320,	14829,15947,16765,17055,18061,24891,29370,		uc009viq.3
uc001aac.4	chr1	-	14361	29370	14361	14361	11	14361,14969,15795,16606,16857,17258,17605,17914,18267,24737,29320,	14829,15038,15947,16765,17055,17368,17742,18061,18369,24891,29370,		uc001aac.4
uc009viv.2	chr1	-	14406	29370	14406	14406	7	14406,16857,17232,17605,17914,24737,29320,	16765,17055,17368,17742,18061,24891,29370,		uc009viv.2
uc009viw.2	chr1	-	14406	29370	14406	14406	7	14406,16857,17232,17914,18267,24737,29320,	16765,17055,17742,18061,18366,24891,29370,		uc009viw.2
uc009vix.2	chr1	-	15602	29370	15602	15602	7	15602,16606,16857,17232,17914,24737,29320,	15947,16765,17055,17368,18061,24891,29370,		uc009vix.2
uc009vjd.2	chr1	-	15795	18061	15795	15795	5	15795,16606,16857,17232,17605,	15947,16765,17055,17368,18061,		uc009vjd.2
uc009viy.2	chr1	-	16606	29370	16606	16606	9	16606,16857,17232,17605,17914,18267,18496,24737,29320,	16765,17055,17368,17742,18061,18362,18554,24891,29370,		uc009viy.2
uc009viz.2	chr1	-	16606	29370	16606	16606	8	16606,16853,17232,17605,17914,18267,24737,29320,	16765,17055,17368,17742,18061,18379,24891,29370,		uc009viz.2
uc009vjc.1	chr1	-	16857	17751	16857	16857	2	16857,17232,	17055,17751,		uc009vjc.1
uc001aai.1	chr1	-	16857	19759	16857	16857	6	16857,17232,17605,17914,18267,18912,	17055,17368,17742,18061,18379,19759,		uc001aai.1
uc010nxs.1	chr1	-	16857	29370	16857	16857	8	16857,17232,17605,17914,18267,18912,24737,29320,	17055,17368,17742,18061,18366,19139,24891,29370,		uc010nxs.1
